idx,stname,period,year,order,label,month,tot_day
1546,via cimabue,2,2019,20192,,2019-09,716.0247311827957
1550,via cleto tomba,1,2019,20191,2019,2019-06,829.1856374807988
1553,via cleto tomba,2,2019,20192,,2019-09,720.3623655913979
1556,via colombarola,1,2019,20191,2019,2019-06,1413.266922683052
1564,via colombarola,2,2019,20192,,2019-09,1716.2618279569895
1572,via cracovia,1,2019,20191,2019,2019-06,1606.8374935995905
1586,via cracovia,2,2019,20192,,2019-09,1411.8672043010754
1600,via croce di camaldoli,1,2019,20191,2019,2019-06,939.51626984127
1607,via croce di camaldoli,2,2019,20192,,2019-09,905.9508960573477
1614,via d'azeglio,1,2019,20191,2019,2019-06,2278.0485535074245
1615,via d'azeglio,2,2019,20192,,2019-09,2221.3293906810036
1616,via dante,1,2019,20191,2019,2019-06,3552.788722478239
1617,via dante,2,2019,20192,,2019-09,3279.898028673835
1618,via de' carracci,1,2019,20191,2019,2019-06,8288.220660522273
1631,via de' carracci,2,2019,20192,,2019-09,7815.394265232975
1644,via degli orti,1,2019,20191,2019,2019-06,9823.837105917637
1673,via degli orti,2,2019,20192,,2019-09,8834.397695852535
1702,via degli ortolani,1,2019,20191,2019,2019-06,13536.895954941116
1713,via degli ortolani,2,2019,20192,,2019-09,12392.344668458782
1724,via dei lamponi,1,2019,20191,2019,2019-06,835.7757808499745
1737,via dei lamponi,2,2019,20192,,2019-09,759.6623655913978
1750,via dei mille,1,2019,20191,2019,2019-06,5303.626222478239
1753,via dei mille,2,2019,20192,,2019-09,5005.231182795699
1756,via del borgo di s.pietro,1,2019,20191,2019,2019-06,1392.3056579621095
1757,via del borgo di s.pietro,2,2019,20192,,2019-09,990.8124551971326
1758,via del dazio,2,2019,20192,,2019-09,4601.817741935484
1776,via del lavoro,1,2019,20191,2019,2019-06,5655.6232932241
1785,via del lavoro,2,2019,20192,,2019-09,5348.482616487455
1794,via del pallone,1,2019,20191,2019,2019-06,4033.1518049155147
1795,via del pallone,2,2019,20192,,2019-09,3997.7385304659497
1796,via del pilastro,1,2019,20191,2019,2019-06,1124.7337301587302
